Name,Words,Collected
Aesop Rock,8260,Albums + EPs + Mixtapes
Ras Kass,7121,Albums + EPs + Mixtapes
Dope D.O.D.,6933,Albums + EPs + Mixtapes
Ill Bill,6770,Albums + EPs + Mixtapes
GZA,6516,Albums + EPs + Mixtapes
Jedi Mind Tricks,6487,Albums + EPs + Mixtapes
Necro,6434,Albums + EPs + Mixtapes
Wu-Tang Clan,6381,Albums + EPs + Mixtapes
Chino XL,6358,Albums + EPs + Mixtapes
Canibus,6349,Albums + EPs + Mixtapes
Army of the Pharaohs,6342,Albums + EPs + Mixtapes
Apathy,6284,Albums + EPs + Mixtapes
MF DOOM,6213,Albums + EPs + Mixtapes
CunninLynguists,6212,Albums + EPs + Mixtapes
Esoteric,6211,Albums + EPs + Mixtapes
Apollo Brown,6185,Albums + EPs + Mixtapes
Immortal Technique,6183,Albums + EPs + Mixtapes
Ghostface Killah,6179,Albums + EPs + Mixtapes
Action Bronson,6067,Albums + EPs + Mixtapes
Pete Rock,6045,Albums + EPs + Mixtapes
The Alchemist,6030,Albums + EPs + Mixtapes
Killah Priest,6015,Albums + EPs + Mixtapes
Papoose,5962,Albums + EPs + Mixtapes
Snowgoons,5903,Albums + EPs + Mixtapes
The Roots,5836,Albums + EPs + Mixtapes
Vinnie Paz,5827,Albums + EPs + Mixtapes
Evidence,5809,Albums + EPs + Mixtapes
Slaine,5726,Albums + EPs + Mixtapes
Statik Selektah,5715,Albums + EPs + Mixtapes
AZ,5696,Albums + EPs + Mixtapes
Inspectah Deck,5687,Albums + EPs + Mixtapes
La Coka Nostra,5654,Albums + EPs + Mixtapes
Reks,5626,Albums + EPs + Mixtapes
Kool G Rap,5579,Albums + EPs + Mixtapes
Raekwon,5517,Albums + EPs + Mixtapes
Common,5466,Albums + EPs + Mixtapes
Method Man,5454,Albums + EPs + Mixtapes
Reef the Lost Cauze,5454,Albums + EPs + Mixtapes
De La Soul,5404,Albums + EPs + Mixtapes
Termanology,5392,Albums + EPs + Mixtapes
Hell Razah,5382,Albums + EPs + Mixtapes
Blu,5379,Albums + EPs + Mixtapes
Redman,5357,Albums + EPs + Mixtapes
Cormega,5355,Albums + EPs + Mixtapes
Crooked I,5298,Albums + EPs + Mixtapes
Sean Price,5294,Albums + EPs + Mixtapes
Cypress Hill,5280,Albums + EPs + Mixtapes
Lupe Fiasco,5228,Albums + EPs + Mixtapes
Talib Kweli,5175,Albums + EPs + Mixtapes
Obie Trice,5169,Albums + EPs + Mixtapes
Joell Ortiz,5161,Albums + EPs + Mixtapes
Cappadonna,5159,Albums + EPs + Mixtapes
Atmosphere,5133,Albums + EPs + Mixtapes
Killer Mike,5111,Albums + EPs + Mixtapes
Joey Bada$$,5098,Albums + EPs + Mixtapes
Curren$y,5076,Albums + EPs + Mixtapes
A Tribe Called Quest,5065,Albums + EPs + Mixtapes
N.O.R.E.,5049,Albums + EPs + Mixtapes
Nas,5035,Albums + EPs + Mixtapes
Locksmith,4970,Albums + EPs + Mixtapes
Wyclef Jean,4932,Albums + EPs + Mixtapes
Rakim,4922,Albums + EPs + Mixtapes
Ludacris,4908,Albums + EPs + Mixtapes
Gang Starr,4901,Albums + EPs + Mixtapes
Xzibit,4900,Albums + EPs + Mixtapes
Rittz,4895,Albums + EPs + Mixtapes
Masta Ace,4858,Albums + EPs + Mixtapes
The Diplomats,4852,Albums + EPs + Mixtapes
Busta Rhymes,4842,Albums + EPs + Mixtapes
"Royce da 5'9""",4828,Albums + EPs + Mixtapes
Wale,4818,Albums + EPs + Mixtapes
Eminem,4812,Albums + EPs + Mixtapes
Tech N9ne,4793,Albums + EPs + Mixtapes
Kurupt,4789,Albums + EPs + Mixtapes
LL Cool J,4782,Albums + EPs + Mixtapes
Fat Joe,4774,Albums + EPs + Mixtapes
Onyx,4762,Albums + EPs + Mixtapes
Jay Rock,4752,Albums + EPs + Mixtapes
OutKast,4749,Albums + EPs + Mixtapes
Fabolous,4746,Albums + EPs + Mixtapes
Mobb Deep,4738,Albums + EPs + Mixtapes
Kano,4718,Albums + EPs + Mixtapes
Joe Budden,4713,Albums + EPs + Mixtapes
