names,collected,url
2 Chainz,0,0
21 Savage,0,0
2Pac,0,0
50 Cent,0,0
8Ball & MJG,0,https://rateyourmusic.com/artist/8ball_and_mjg
A Tribe Called Quest,0,0
Ace Hood,0,0
Action Bronson,0,0
Aesop Rock,0,0
Akon,0,0
Akrobatik,0,0
Almighty,0,0
Apathy,0,0
Apollo Brown,0,0
Army of the Pharaohs,0,0
Atmosphere,0,0
AZ,0,0
Azad,0,https://rateyourmusic.com/artist/azad-1
B-Real,0,0
B.o.B,0,https://rateyourmusic.com/artist/b_o_b
Bankroll Mafia,0,0
Beanie Sigel,0,0
Big Boi,0,0
Big K.R.I.T.,0,0
Big L,0,0
Big Pun,0,0
Big Sean,0,0
Birdman,0,0
Black Star,0,0
Black Thought,0,0
Blu,0,https://rateyourmusic.com/artist/blu_f1
Bone Thugs,0,0
Bronze Nazareth,0,0
Bun B,0,0
Busta Rhymes,0,0
C.L. Smooth,0,0
Cage,0,0
Cam'ron,0,0
Canibus,0,0
Capone,0,https://rateyourmusic.com/artist/capone_f1
Capone-n-Noreaga,0,0
Cappadonna,0,0
Cashis,0,0
Cassidy,0,0
Celph Titled,0,0
Centr,0,0
Chamillionaire,0,0
Chevy Woods,0,0
Childish Gambino,0,0
Chino XL,0,0
Chris Rivers,0,0
Clipse,0,0
Common,0,0
Consequence,0,0
Cormega,0,0
Crooked I,0,0
CunninLynguists,0,0
Curren$y,0,0
Cypress Hill,0,0
Czarface,0,0
D12,0,0
Dave East,0,0
De La Soul,0,0
Dead Prez,0,0
Demrick,0,0
Diabolic,0,0
DJ Khaled,0,0
DMX,0,0
Dope D.O.D.,0,0
Dr. Dre,0,0
Drag-On,0,https://rateyourmusic.com/artist/drag_on
Drake,0,0
Eazy-E,0,0
Eminem,0,0
Eric Bellinger,0,0
Esoteric,0,https://rateyourmusic.com/artist/esoteric_f1
Everlast,0,0
Evidence,0,https://rateyourmusic.com/artist/evidence_f2
Fabolous,0,0
Fat Joe,0,0
Fort Minor,0,0
Freddie Gibbs,0,0
Freeway,0,0
French Montana,0,0
Fugees,0,0
Future,0,https://rateyourmusic.com/artist/future-1
G-Eazy,0,0
G-Unit,0,0
Gang Starr,0,0
Geto Boys,0,0
Ghostface Killah,0,0
Griselda,0,0
GZA/Genius,0,0
Havoc,0,https://rateyourmusic.com/artist/havoc_f1
Hell Razah,0,0
Hell Rell,0,0
Heltah Skeltah,0,0
Ice Cube,0,0
Ill Bill,0,0
Immortal Technique,0,0
Infamous Mobb,0,0
Inspectah Deck,0,0
J. Cole,0,0
Ja Rule,0,0
Jadakiss,0,0
Jay Electronica,0,0
Jay Rock,0,0
Jedi Mind Tricks,0,0
Jeezy,0,0
Jeremih,0,0
Jermaine Dupri,0,0
Jim Jones,0,0
Joe Budden,0,0
Joell Ortiz,0,0
Joey Bada$$,0,0
Journalist 103,0,0
JR Writer,0,0
Juelz Santana,0,0
Juicy J,0,0
Kano,0,0
Kanye West,0,0
Kendrick Lamar,0,0
Kevin Gates,0,0
Kid Cudi,0,0
Kid Ink,0,0
Killah Priest,0,0
Killer Mike,0,0
Kool G Rap,0,0
Krayzie Bone,0,0
Krizz Kaliko,0,0
Kuniva,0,0
Kurupt,0,0
La Coka Nostra,0,0
Lil Wayne,0,0
Lil' Fame,0,0
Lil' Flip,0,0
LL Cool J,0,0
Lloyd Banks,0,0
Locksmith,0,https://rateyourmusic.com/artist/locksmith_f2
Ludacris,0,0
Lupe Fiasco,0,0
M.O.P,0,0
Ma$e,0,https://rateyourmusic.com/artist/ma_e
Machine Gun Kelly,0,https://rateyourmusic.com/artist/machine-gun-kelly
Maino,0,0
Malik B,0,0
Markul,0,0
Masta Ace,0,0
Master P,0,0
Meek Mill,0,0
Merkules,0,0
Method Man,0,0
MF DOOM,0,0
Millyz,0,0
Mobb Deep,0,0
Mos Def,0,0
N.O.R.E.,0,0
N.W.A,0,0
Nana,0,0
Nas,0,0
Nate Dogg,0,0
Nav,0,https://rateyourmusic.com/artist/nav
Necro,0,https://rateyourmusic.com/artist/necro
Nelly,0,0
Nipsey Hussle,0,0
Non Phixion,0,0
Obie Trice,0,0
Onyx,0,0
Outerspace,0,0
OutKast,0,0
Outlawz,0,0
P. Diddy,0,0
Papoose,0,0
Paul Wall,0,0
Pete Rock,0,0
Petey Pablo,0,0
Pharoahe Monch,0,0
Pharrell Williams,0,0
Pimp C,0,0
